Metodo,Iteracao,Erro_Final
SOR_w=0.5,62,0.0000786467
SOR_w=0.5,63,0.0000645056
SOR_w=0.5,64,0.0000529071
SOR_w=0.5,65,0.0000433941
SOR_w=0.5,66,0.0000355916
SOR_w=0.5,67,0.0000291920
SOR_w=0.5,68,0.0000239431
SOR_w=0.5,69,0.0000196380
SOR_w=0.5,70,0.0000161070
SOR_w=0.5,71,0.0000132108
SOR_w=0.5,72,0.0000108354
SOR_w=0.5,73,0.0000088872
SOR_w=0.5,74,0.0000072892
SOR_w=0.5,75,0.0000059786
SOR_w=0.5,76,0.0000049036
SOR_w=0.5,77,0.0000040219
SOR_w=0.5,78,0.0000032987
SOR_w=0.5,79,0.0000027056
SOR_w=0.5,80,0.0000022191
SOR_w=0.5,81,0.0000018201
SOR_w=0.5,82,0.0000014928
SOR_w=0.5,83,0.0000012244
SOR_w=0.5,84,0.0000010043
SOR_w=0.5,85,0.0000008237
SOR_w=0.5,86,0.0000006756
SOR_w=0.5,87,0.0000005541
SOR_w=0.5,88,0.0000004545
SOR_w=0.5,89,0.0000003728
SOR_w=0.5,90,0.0000003057
SOR_w=0.5,91,0.0000002508
SOR_w=0.5,92,0.0000002057
SOR_w=0.5,93,0.0000001687
SOR_w=0.5,94,0.0000001384
SOR_w=0.5,95,0.0000001135
SOR_w=0.5,96,0.0000000931
SOR_w=0.5,97,0.0000000763
SOR_w=0.5,98,0.0000000626
SOR_w=0.5,99,0.0000000514
SOR_w=0.5,100,0.0000000421
SOR_w=0.5,101,0.0000000345
SOR_w=0.5,102,0.0000000283
SOR_w=0.5,103,0.0000000232
SOR_w=0.5,104,0.0000000191
SOR_w=0.5,105,0.0000000156
SOR_w=0.5,106,0.0000000128
SOR_w=0.5,107,0.0000000105
SOR_w=0.5,108,0.0000000086
SOR_w=0.9,1,44.1793037109
SOR_w=0.9,2,19.3767835693
SOR_w=0.9,3,12.6105894141
SOR_w=0.9,4,7.8729824549
SOR_w=0.9,5,4.6758905223
SOR_w=0.9,6,2.7540681446
SOR_w=0.9,7,1.6198407426
SOR_w=0.9,8,0.9525018098
SOR_w=0.9,9,0.5600690717
SOR_w=0.9,10,0.3293171587
SOR_w=0.9,11,0.1936362291
SOR_w=0.9,12,0.1138567509
SOR_w=0.9,13,0.0669469724
SOR_w=0.9,14,0.0393643508
